filename,act_type,sent_count,age_months
6059.cha,TD,755,78
6058.cha,cross,551,75
6058.cha,interview,551,75
6058.cha,TD,551,75
6003.cha,cross,620,81
6003.cha,interview,620,81
6003.cha,TD,620,81
6017.cha,cross,1060,72
6017.cha,interview,1060,72
6017.cha,TD,1060,72
6016.cha,cross,815,75
6016.cha,interview,815,75
6016.cha,TD,815,75
6002.cha,cross,670,75
6002.cha,interview,670,75
6002.cha,TD,670,75
6014.cha,cross,601,73
6014.cha,interview,601,73
6014.cha,TD,601,73
6028.cha,cross,931,75
6028.cha,interview,931,75
6028.cha,TD,931,75
6029.cha,cross,866,75
6029.cha,interview,866,75
6029.cha,TD,866,75
6001.cha,cross,744,77
6001.cha,interview,744,77
6001.cha,TD,744,77
6015.cha,cross,958,74
6015.cha,interview,958,74
6015.cha,TD,958,74
6039.cha,cross,520,81
6039.cha,interview,520,81
6039.cha,TD,520,81
6011.cha,cross,718,80
6011.cha,interview,718,80
6011.cha,TD,718,80
6005.cha,cross,797,78
6005.cha,interview,797,78
6005.cha,TD,797,78
6004.cha,cross,865,77
6004.cha,interview,865,77
6004.cha,TD,865,77
6010.cha,cross,1030,83
6010.cha,interview,1030,83
6010.cha,TD,1030,83
6038.cha,cross,690,80
6038.cha,interview,690,80
6038.cha,TD,690,80
6006.cha,cross,1009,76
6006.cha,interview,1009,76
6006.cha,TD,1009,76
6012.cha,cross,1275,78
6012.cha,interview,1275,78
6012.cha,TD,1275,78
6013.cha,cross,1055,79
6013.cha,interview,1055,79
6013.cha,TD,1055,79
6007.cha,cross,819,72
6007.cha,interview,819,72
6007.cha,TD,819,72
6022.cha,cross,748,72
6022.cha,interview,748,72
6022.cha,TD,748,72
6036.cha,cross,763,80
6036.cha,interview,763,80
6036.cha,TD,763,80
6023.cha,cross,1085,81
6023.cha,interview,1085,81
6023.cha,TD,1085,81
6035.cha,cross,728,81
6035.cha,interview,728,81
6035.cha,TD,728,81
6021.cha,cross,1084,82
6021.cha,interview,1084,82
6021.cha,TD,1084,82
6009.cha,cross,976,77
6009.cha,interview,976,77
6009.cha,TD,976,77
6008.cha,cross,847,76
6008.cha,interview,847,76
6008.cha,TD,847,76
6020.cha,cross,597,76
6020.cha,interview,597,76
6020.cha,TD,597,76
6034.cha,cross,682,77
6034.cha,interview,682,77
6034.cha,TD,682,77
6018.cha,cross,1077,76
6018.cha,interview,1077,76
6018.cha,TD,1077,76
6030.cha,cross,769,75
6030.cha,interview,769,75
6030.cha,TD,769,75
6024.cha,cross,1009,82
6024.cha,interview,1009,82
6024.cha,TD,1009,82
6025.cha,cross,623,74
6025.cha,interview,623,74
6025.cha,TD,623,74
6031.cha,cross,750,78
6031.cha,interview,750,78
6031.cha,TD,750,78
6019.cha,cross,967,73
6019.cha,interview,967,73
6019.cha,TD,967,73
6027.cha,cross,660,81
6027.cha,interview,660,81
6027.cha,TD,660,81
6033.cha,cross,1082,75
6033.cha,interview,1082,75
6033.cha,TD,1082,75
6032.cha,cross,994,80
6032.cha,interview,994,80
6032.cha,TD,994,80
6026.cha,cross,1115,80
6026.cha,interview,1115,80
6026.cha,TD,1115,80
6041.cha,cross,689,73
6041.cha,interview,689,73
6041.cha,TD,689,73
6055.cha,cross,1046,81
6055.cha,interview,1046,81
6055.cha,TD,1046,81
6054.cha,cross,658,77
6054.cha,interview,658,77
6054.cha,TD,658,77
6040.cha,cross,813,76
6040.cha,interview,813,76
6040.cha,TD,813,76
6056.cha,cross,633,81
6056.cha,interview,633,81
6056.cha,TD,633,81
6042.cha,cross,907,80
6042.cha,interview,907,80
6042.cha,TD,907,80
6043.cha,cross,1034,78
6043.cha,interview,1034,78
6043.cha,TD,1034,78
6057.cha,cross,333,78
6057.cha,interview,333,78
6057.cha,TD,333,78
6053.cha,cross,822,80
6053.cha,interview,822,80
6053.cha,TD,822,80
6047.cha,cross,860,72
6047.cha,interview,860,72
6047.cha,TD,860,72
6046.cha,cross,1153,75
6046.cha,interview,1153,75
6046.cha,TD,1153,75
6052.cha,cross,633,83
6052.cha,interview,633,83
6052.cha,TD,633,83
6044.cha,cross,588,83
6044.cha,interview,588,83
6044.cha,TD,588,83
6050.cha,cross,305,74
6050.cha,interview,305,74
6050.cha,TD,305,74
6051.cha,cross,703,73
6051.cha,interview,703,73
6051.cha,TD,703,73
6045.cha,cross,748,78
6045.cha,interview,748,78
6045.cha,TD,748,78
