filename,act_type,sent_count,age_months
gremt7.cha,long,117,111
gremt7.cha,meal,117,111
gremt7.cha,TD,117,111
petmt7.cha,long,314,121
petmt7.cha,meal,314,121
petmt7.cha,TD,314,121
tommt7.cha,long,652,114
tommt7.cha,meal,652,114
tommt7.cha,TD,652,114
marmt7.cha,long,435,117
marmt7.cha,meal,435,117
marmt7.cha,TD,435,117
brnmt7.cha,long,385,117
brnmt7.cha,meal,385,117
brnmt7.cha,TD,385,117
jesmt7.cha,long,190,118
jesmt7.cha,meal,190,118
jesmt7.cha,TD,190,118
vicmt7.cha,long,628,116
vicmt7.cha,meal,628,116
vicmt7.cha,TD,628,116
sarmt7.cha,long,84,110
sarmt7.cha,meal,84,110
sarmt7.cha,TD,84,110
rosmt7.cha,long,452,117
rosmt7.cha,meal,452,117
rosmt7.cha,TD,452,117
bobmt7.cha,long,567,123
bobmt7.cha,meal,567,123
bobmt7.cha,TD,567,123
conmt7.cha,long,234,116
conmt7.cha,meal,234,116
conmt7.cha,TD,234,116
joymt7.cha,long,207,114
joymt7.cha,meal,207,114
joymt7.cha,TD,207,114
trimt7.cha,long,155,118
trimt7.cha,meal,155,118
trimt7.cha,TD,155,118
kurmt7.cha,long,57,112
kurmt7.cha,meal,57,112
kurmt7.cha,TD,57,112
megmt7.cha,long,356,113
megmt7.cha,meal,356,113
megmt7.cha,TD,356,113
casmt7.cha,long,171,113
casmt7.cha,meal,171,113
casmt7.cha,TD,171,113
stnmt7.cha,long,230,110
stnmt7.cha,meal,230,110
stnmt7.cha,TD,230,110
admmt7.cha,long,856,114
admmt7.cha,meal,856,114
admmt7.cha,TD,856,114
diamt7.cha,long,270,111
diamt7.cha,meal,270,111
diamt7.cha,TD,270,111
paumt7.cha,long,419,133
paumt7.cha,meal,419,133
paumt7.cha,TD,419,133
rilmt7.cha,long,173,116
rilmt7.cha,meal,173,116
rilmt7.cha,TD,173,116
jeamt7.cha,long,177,116
jeamt7.cha,meal,177,116
jeamt7.cha,TD,177,116
susmt7.cha,long,191,123
susmt7.cha,meal,191,123
susmt7.cha,TD,191,123
ethmt7.cha,long,513,120
ethmt7.cha,meal,513,120
ethmt7.cha,TD,513,120
melmt7.cha,long,518,119
melmt7.cha,meal,518,119
melmt7.cha,TD,518,119
acemt7.cha,long,107,130
acemt7.cha,meal,107,130
acemt7.cha,TD,107,130
astmt7.cha,long,190,112
astmt7.cha,meal,190,112
astmt7.cha,TD,190,112
aprmt7.cha,long,140,144
aprmt7.cha,meal,140,144
aprmt7.cha,TD,140,144
rasmt7.cha,long,202,120
rasmt7.cha,meal,202,120
rasmt7.cha,TD,202,120
bramt7.cha,long,743,121
bramt7.cha,meal,743,121
bramt7.cha,TD,743,121
jermt7.cha,long,573,120
jermt7.cha,meal,573,120
jermt7.cha,TD,573,120
annmt7.cha,long,198,125
annmt7.cha,meal,198,125
annmt7.cha,TD,198,125
maymt7.cha,long,348,112
maymt7.cha,meal,348,112
maymt7.cha,TD,348,112
kevmt7.cha,long,308,132
kevmt7.cha,meal,308,132
kevmt7.cha,TD,308,132
davmt7.cha,long,910,112
davmt7.cha,meal,910,112
davmt7.cha,TD,910,112
jenmt7.cha,long,202,126
jenmt7.cha,meal,202,126
jenmt7.cha,TD,202,126
jebmt7.cha,long,616,109
jebmt7.cha,meal,616,109
jebmt7.cha,TD,616,109
brimt7.cha,long,150,121
brimt7.cha,meal,150,121
brimt7.cha,TD,150,121
raumt7.cha,long,21,117
raumt7.cha,meal,21,117
raumt7.cha,TD,21,117
zanmt7.cha,long,173,122
zanmt7.cha,meal,173,122
zanmt7.cha,TD,173,122
allmt7.cha,long,132,107
allmt7.cha,meal,132,107
allmt7.cha,TD,132,107
emimt7.cha,long,701,106
emimt7.cha,meal,701,106
emimt7.cha,TD,701,106
todmt7.cha,long,212,112
todmt7.cha,meal,212,112
todmt7.cha,TD,212,112
claet7.cha,long,103,110
claet7.cha,toyplay,103,110
claet7.cha,TD,103,110
mayet7.cha,long,307,113
mayet7.cha,toyplay,307,113
mayet7.cha,TD,307,113
ctret7.cha,long,255,111
ctret7.cha,toyplay,255,111
ctret7.cha,TD,255,111
briet7.cha,long,180,121
briet7.cha,toyplay,180,121
briet7.cha,TD,180,121
jebet7.cha,long,570,109
jebet7.cha,toyplay,570,109
jebet7.cha,TD,570,109
juset7.cha,long,161,115
juset7.cha,toyplay,161,115
juset7.cha,TD,161,115
jenet7.cha,long,136,126
jenet7.cha,toyplay,136,126
jenet7.cha,TD,136,126
davet7.cha,long,411,109
davet7.cha,toyplay,411,109
davet7.cha,TD,411,109
allet7.cha,long,221,107
allet7.cha,toyplay,221,107
allet7.cha,TD,221,107
zanet7.cha,long,158,122
zanet7.cha,toyplay,158,122
zanet7.cha,TD,158,122
rauet7.cha,long,251,117
rauet7.cha,toyplay,251,117
rauet7.cha,TD,251,117
todet7.cha,long,310,112
todet7.cha,toyplay,310,112
todet7.cha,TD,310,112
emiet7.cha,long,369,106
emiet7.cha,toyplay,369,106
emiet7.cha,TD,369,106
suset7.cha,long,150,115
suset7.cha,toyplay,150,115
suset7.cha,TD,150,115
melet7.cha,long,149,119
melet7.cha,toyplay,149,119
melet7.cha,TD,149,119
catet7.cha,long,234,120
catet7.cha,toyplay,234,120
catet7.cha,TD,234,120
aimet7.cha,long,103,117
aimet7.cha,toyplay,103,117
aimet7.cha,TD,103,117
ethet7.cha,long,373,120
ethet7.cha,toyplay,373,120
ethet7.cha,TD,373,120
astet7.cha,long,163,112
astet7.cha,toyplay,163,112
astet7.cha,TD,163,112
aceet7.cha,long,135,110
aceet7.cha,toyplay,135,110
aceet7.cha,TD,135,110
apret7.cha,long,78,109
apret7.cha,toyplay,78,109
apret7.cha,TD,78,109
braet7.cha,long,283,121
braet7.cha,toyplay,283,121
braet7.cha,TD,283,121
raset7.cha,long,282,120
raset7.cha,toyplay,282,120
raset7.cha,TD,282,120
annet7.cha,long,185,125
annet7.cha,toyplay,185,125
annet7.cha,TD,185,125
jamet7.cha,long,72,123
jamet7.cha,toyplay,72,123
jamet7.cha,TD,72,123
jeret7.cha,long,135,120
jeret7.cha,toyplay,135,120
jeret7.cha,TD,135,120
kuret7.cha,long,134,112
kuret7.cha,toyplay,134,112
kuret7.cha,TD,134,112
triet7.cha,long,212,118
triet7.cha,toyplay,212,118
triet7.cha,TD,212,118
stnet7.cha,long,285,110
stnet7.cha,toyplay,285,110
stnet7.cha,TD,285,110
caset7.cha,long,46,113
caset7.cha,toyplay,46,113
caset7.cha,TD,46,113
meget7.cha,long,101,113
meget7.cha,toyplay,101,113
meget7.cha,TD,101,113
nedet7.cha,long,234,126
nedet7.cha,toyplay,234,126
nedet7.cha,TD,234,126
admet7.cha,long,474,114
admet7.cha,toyplay,474,114
admet7.cha,TD,474,114
rocet7.cha,long,42,141
rocet7.cha,toyplay,42,141
rocet7.cha,TD,42,141
joeet7.cha,long,323,117
joeet7.cha,toyplay,323,117
joeet7.cha,TD,323,117
rilet7.cha,long,187,121
rilet7.cha,toyplay,187,121
rilet7.cha,TD,187,121
pauet7.cha,long,142,111
pauet7.cha,toyplay,142,111
pauet7.cha,TD,142,111
diaet7.cha,long,122,111
diaet7.cha,toyplay,122,111
diaet7.cha,TD,122,111
jeaet7.cha,long,117,116
jeaet7.cha,toyplay,117,116
jeaet7.cha,TD,117,116
tomet7.cha,long,366,114
tomet7.cha,toyplay,366,114
tomet7.cha,TD,366,114
petet7.cha,long,309,114
petet7.cha,toyplay,309,114
petet7.cha,TD,309,114
greet7.cha,long,145,111
greet7.cha,toyplay,145,111
greet7.cha,TD,145,111
maret7.cha,long,125,118
maret7.cha,toyplay,125,118
maret7.cha,TD,125,118
brnet7.cha,long,102,122
brnet7.cha,toyplay,102,122
brnet7.cha,TD,102,122
aliet7.cha,long,128,122
aliet7.cha,toyplay,128,122
aliet7.cha,TD,128,122
vicet7.cha,long,474,116
vicet7.cha,toyplay,474,116
vicet7.cha,TD,474,116
jeset7.cha,long,400,115
jeset7.cha,toyplay,400,115
jeset7.cha,TD,400,115
saret7.cha,long,191,110
saret7.cha,toyplay,191,110
saret7.cha,TD,191,110
geoet7.cha,long,290,116
geoet7.cha,toyplay,290,116
geoet7.cha,TD,290,116
joyet7.cha,long,217,114
joyet7.cha,toyplay,217,114
joyet7.cha,TD,217,114
conet7.cha,long,324,117
conet7.cha,toyplay,324,117
conet7.cha,TD,324,117
roset7.cha,long,18,116
roset7.cha,toyplay,18,116
roset7.cha,TD,18,116
bobet7.cha,long,233,111
bobet7.cha,toyplay,233,111
bobet7.cha,TD,233,111
dontp3.cha,long,34,137
dontp3.cha,toyplay,34,137
dontp3.cha,TD,34,137
PK.cha,cross,278,109
PK.cha,interview,278,109
PK.cha,TD,278,109
SS.cha,cross,154,117
SS.cha,interview,154,117
SS.cha,TD,154,117
JF.cha,cross,193,105
JF.cha,interview,193,105
JF.cha,TD,193,105
DL.cha,cross,329,152
DL.cha,interview,329,152
DL.cha,TD,329,152
EH.cha,cross,215,117
EH.cha,interview,215,117
EH.cha,TD,215,117
KS.cha,cross,346,156
KS.cha,interview,346,156
KS.cha,TD,346,156
TC.cha,cross,321,171
TC.cha,interview,321,171
TC.cha,TD,321,171
TT.cha,cross,332,136
TT.cha,interview,332,136
TT.cha,TD,332,136
AT.cha,cross,163,142
AT.cha,interview,163,142
AT.cha,TD,163,142
MS.cha,cross,259,155
MS.cha,interview,259,155
MS.cha,TD,259,155
MD.cha,cross,641,136
MD.cha,interview,641,136
MD.cha,TD,641,136
AF.cha,cross,245,157
AF.cha,interview,245,157
AF.cha,TD,245,157
AHG.cha,cross,137,147
AHG.cha,interview,137,147
AHG.cha,TD,137,147
AS.cha,cross,217,103
