filename,act_type,sent_count,age_months
040918.cha,long,703,57
040918.cha,toyplay,703,57
040918.cha,TD,703,57
040900.cha,long,505,57
040900.cha,toyplay,505,57
040900.cha,TD,505,57
040905.cha,long,749,57
040905.cha,toyplay,749,57
040905.cha,TD,749,57
040804.cha,long,437,56
040804.cha,toyplay,437,56
040804.cha,TD,437,56
041003.cha,long,333,58
041003.cha,toyplay,333,58
041003.cha,TD,333,58
041006.cha,long,817,58
041006.cha,toyplay,817,58
041006.cha,TD,817,58
040714.cha,long,550,55
040714.cha,toyplay,550,55
040714.cha,TD,550,55
041102.cha,long,429,59
041102.cha,toyplay,429,59
041102.cha,TD,429,59
040922.cha,long,721,57
040922.cha,toyplay,721,57
040922.cha,TD,721,57
040901.cha,long,380,57
040901.cha,toyplay,380,57
040901.cha,TD,380,57
041008.cha,long,297,58
041008.cha,toyplay,297,58
041008.cha,TD,297,58
041122.cha,long,903,59
041122.cha,toyplay,903,59
041122.cha,TD,903,59
040800.cha,long,430,56
040800.cha,toyplay,430,56
040800.cha,TD,430,56
041023.cha,long,1759,58
041023.cha,toyplay,1759,58
041023.cha,TD,1759,58
040511.cha,long,1299,53
040511.cha,toyplay,1299,53
040511.cha,TD,1299,53
040115.cha,long,2085,49
040115.cha,toyplay,2085,49
040115.cha,TD,2085,49
040701.cha,long,1503,55
040701.cha,toyplay,1503,55
040701.cha,TD,1503,55
040729.cha,long,1137,55
040729.cha,toyplay,1137,55
040729.cha,TD,1137,55
040217.cha,long,1407,50
040217.cha,toyplay,1407,50
040217.cha,TD,1407,50
040014.cha,long,1394,48
040014.cha,toyplay,1394,48
040014.cha,TD,1394,48
040413.cha,long,1540,52
040413.cha,toyplay,1540,52
040413.cha,TD,1540,52
040401.cha,long,1500,52
040401.cha,toyplay,1500,52
040401.cha,TD,1500,52
040624.cha,long,1565,54
040624.cha,toyplay,1565,54
040624.cha,TD,1565,54
040902.cha,long,1263,57
040902.cha,toyplay,1263,57
040902.cha,TD,1263,57
040309.cha,long,1505,51
040309.cha,toyplay,1505,51
040309.cha,TD,1505,51
041002.cha,long,1338,58
041002.cha,toyplay,1338,58
041002.cha,TD,1338,58
040711.cha,long,604,55
040711.cha,toyplay,604,55
040711.cha,TD,604,55
041021.cha,long,535,58
041021.cha,toyplay,535,58
041021.cha,TD,535,58
040128.cha,long,662,49
040128.cha,toyplay,662,49
040128.cha,TD,662,49
040504.cha,long,677,53
040504.cha,toyplay,677,53
040504.cha,TD,677,53
040919.cha,long,602,57
040919.cha,toyplay,602,57
040919.cha,TD,602,57
040514.cha,long,582,53
040514.cha,toyplay,582,53
040514.cha,TD,582,53
040104.cha,long,711,49
040104.cha,toyplay,711,49
040104.cha,TD,711,49
040111.cha,long,635,49
040111.cha,toyplay,635,49
040111.cha,TD,635,49
040313.cha,long,660,51
040313.cha,toyplay,660,51
040313.cha,TD,660,51
040307.cha,long,850,51
040307.cha,toyplay,850,51
040307.cha,TD,850,51
040529.cha,long,767,53
040529.cha,toyplay,767,53
040529.cha,TD,767,53
040717.cha,long,512,55
040717.cha,toyplay,512,55
040717.cha,TD,512,55
040926.cha,long,475,57
040926.cha,toyplay,475,57
040926.cha,TD,475,57
041027.cha,long,533,58
041027.cha,toyplay,533,58
041027.cha,TD,533,58
040700.cha,long,675,55
040700.cha,toyplay,675,55
040700.cha,TD,675,55
040411.cha,long,626,52
040411.cha,toyplay,626,52
040411.cha,TD,626,52
040820.cha,long,648,56
040820.cha,toyplay,648,56
040820.cha,TD,648,56
040216.cha,long,758,50
040216.cha,toyplay,758,50
040216.cha,TD,758,50
040014.cha,long,495,48
040014.cha,toyplay,495,48
040014.cha,TD,495,48
040028.cha,long,588,48
040028.cha,toyplay,588,48
040028.cha,TD,588,48
040228.cha,long,614,50
040228.cha,toyplay,614,50
040228.cha,TD,614,50
040610.cha,long,598,54
040610.cha,toyplay,598,54
040610.cha,TD,598,54
040605.cha,long,675,54
040605.cha,toyplay,675,54
040605.cha,TD,675,54
040201.cha,long,675,50
040201.cha,toyplay,675,50
040201.cha,TD,675,50
041126.cha,long,713,59
041126.cha,toyplay,713,59
041126.cha,TD,713,59
040617.cha,long,505,54
040617.cha,toyplay,505,54
040617.cha,TD,505,54
040401.cha,long,584,52
040401.cha,toyplay,584,52
040401.cha,TD,584,52
041119.cha,long,684,59
041119.cha,toyplay,684,59
041119.cha,TD,684,59
040005.cha,long,584,48
040005.cha,toyplay,584,48
040005.cha,TD,584,48
040418.cha,long,666,52
040418.cha,toyplay,666,52
040418.cha,TD,666,52
040425.cha,long,630,52
040425.cha,toyplay,630,52
040425.cha,TD,630,52
040223.cha,long,616,50
040223.cha,toyplay,616,50
040223.cha,TD,616,50
040209.cha,long,648,50
040209.cha,toyplay,648,50
040209.cha,TD,648,50
040624.cha,long,700,54
040624.cha,toyplay,700,54
040624.cha,TD,700,54
040807.cha,long,551,56
040807.cha,toyplay,551,56
040807.cha,TD,551,56
040813.cha,long,590,56
040813.cha,toyplay,590,56
040813.cha,TD,590,56
041113.cha,long,670,59
041113.cha,toyplay,670,59
041113.cha,TD,670,59
041104.cha,long,437,59
041104.cha,toyplay,437,59
041104.cha,TD,437,59
040724.cha,long,690,55
040724.cha,toyplay,690,55
040724.cha,TD,690,55
040904.cha,long,530,57
040904.cha,toyplay,530,57
040904.cha,TD,530,57
040118.cha,long,632,49
040118.cha,toyplay,632,49
040118.cha,TD,632,49
040326.cha,long,616,51
040326.cha,toyplay,616,51
040326.cha,TD,616,51
040508.cha,long,550,53
040508.cha,toyplay,550,53
040508.cha,TD,550,53
040522.cha,long,616,53
040522.cha,toyplay,616,53
040522.cha,TD,616,53
041006.cha,long,794,58
041006.cha,toyplay,794,58
041006.cha,TD,794,58
040319.cha,long,64,51
040319.cha,toyplay,64,51
040319.cha,TD,64,51
040912.cha,long,680,57
040912.cha,toyplay,680,57
040912.cha,TD,680,57
remmt1.cha,long,703,48
remmt1.cha,meal,703,48
remmt1.cha,TD,703,48
rosmt1.cha,long,323,48
rosmt1.cha,meal,323,48
rosmt1.cha,TD,323,48
joymt1.cha,long,289,48
joymt1.cha,meal,289,48
joymt1.cha,TD,289,48
conmt1.cha,long,255,51
conmt1.cha,meal,255,51
conmt1.cha,TD,255,51
tamtp1.cha,long,613,48
tamtp1.cha,meal,613,48
tamtp1.cha,TD,613,48
tommt1.cha,long,793,50
tommt1.cha,meal,793,50
tommt1.cha,TD,793,50
anamt1.cha,long,602,50
anamt1.cha,meal,602,50
anamt1.cha,TD,602,50
brnmt1.cha,long,241,50
brnmt1.cha,meal,241,50
brnmt1.cha,TD,241,50
jeamt1.cha,long,288,48
jeamt1.cha,meal,288,48
jeamt1.cha,TD,288,48
gilmt1.cha,long,77,55
gilmt1.cha,meal,77,55
gilmt1.cha,TD,77,55
trimt1.cha,long,267,48
trimt1.cha,meal,267,48
trimt1.cha,TD,267,48
megmt1.cha,long,409,48
megmt1.cha,meal,409,48
megmt1.cha,TD,409,48
casmt1.cha,long,190,49
casmt1.cha,meal,190,49
casmt1.cha,TD,190,49
admmt1.cha,long,181,49
admmt1.cha,meal,181,49
admmt1.cha,TD,181,49
rilmt1.cha,long,236,49
rilmt1.cha,meal,236,49
rilmt1.cha,TD,236,49
joemt1.cha,long,256,51
joemt1.cha,meal,256,51
joemt1.cha,TD,256,51
jermt1.cha,long,210,48
jermt1.cha,meal,210,48
jermt1.cha,TD,210,48
annmt1.cha,long,184,50
annmt1.cha,meal,184,50
annmt1.cha,TD,184,50
jammt1.cha,long,142,48
jammt1.cha,meal,142,48
jammt1.cha,TD,142,48
termt1.cha,long,441,51
termt1.cha,meal,441,51
termt1.cha,TD,441,51
tammt1.cha,long,743,48
tammt1.cha,meal,743,48
tammt1.cha,TD,743,48
melmt1.cha,long,248,48
melmt1.cha,meal,248,48
melmt1.cha,TD,248,48
sopmt1.cha,long,37,48
sopmt1.cha,meal,37,48
sopmt1.cha,TD,37,48
mormt1.cha,long,175,59
mormt1.cha,meal,175,59
mormt1.cha,TD,175,59
monmt1.cha,long,96,49
monmt1.cha,meal,96,49
monmt1.cha,TD,96,49
