filename,act_type,sent_count,age_months
021005.cha,long,203,34
021005.cha,toyplay,203,34
021005.cha,TD,203,34
020404.cha,long,331,28
020404.cha,toyplay,331,28
020404.cha,TD,331,28
020526.cha,long,114,29
020526.cha,toyplay,114,29
020526.cha,TD,114,29
020902.cha,long,124,33
020902.cha,toyplay,124,33
020902.cha,TD,124,33
020310.cha,long,160,27
020310.cha,toyplay,160,27
020310.cha,TD,160,27
021123.cha,long,123,35
021123.cha,toyplay,123,35
021123.cha,TD,123,35
020227.cha,long,70,26
020227.cha,toyplay,70,26
020227.cha,TD,70,26
020910.cha,long,60,33
020910.cha,toyplay,60,33
020910.cha,TD,60,33
020013.cha,long,77,24
020013.cha,toyplay,77,24
020013.cha,TD,77,24
020603.cha,long,35,30
020603.cha,toyplay,35,30
020603.cha,TD,35,30
020905.cha,long,301,33
020905.cha,toyplay,301,33
020905.cha,TD,301,33
020304.cha,long,469,27
020304.cha,toyplay,469,27
020304.cha,TD,469,27
020603.cha,long,415,30
020603.cha,toyplay,415,30
020603.cha,TD,415,30
020004.cha,long,343,24
020004.cha,toyplay,343,24
020004.cha,TD,343,24
020924.cha,long,84,33
020924.cha,toyplay,84,33
020924.cha,TD,84,33
020301.cha,long,138,27
020301.cha,toyplay,138,27
020301.cha,TD,138,27
020601.cha,long,100,30
020601.cha,toyplay,100,30
020601.cha,TD,100,30
020203.cha,long,64,26
020203.cha,toyplay,64,26
020203.cha,TD,64,26
020901.cha,long,282,33
020901.cha,toyplay,282,33
020901.cha,TD,282,33
020305.cha,long,493,27
020305.cha,toyplay,493,27
020305.cha,TD,493,27
021126.cha,long,221,35
021126.cha,toyplay,221,35
021126.cha,TD,221,35
020015.cha,long,295,24
020015.cha,toyplay,295,24
020015.cha,TD,295,24
020605.cha,long,296,30
020605.cha,toyplay,296,30
020605.cha,TD,296,30
020230.cha,long,323,26
020230.cha,toyplay,323,26
020230.cha,TD,323,26
020913.cha,long,115,33
020913.cha,toyplay,115,33
020913.cha,TD,115,33
020500.cha,long,96,29
020500.cha,toyplay,96,29
020500.cha,TD,96,29
020002.cha,long,437,24
020002.cha,toyplay,437,24
020002.cha,TD,437,24
020008.cha,long,162,24
020008.cha,toyplay,162,24
020008.cha,TD,162,24
020526.cha,long,158,29
020526.cha,toyplay,158,29
020526.cha,TD,158,29
020303.cha,long,143,27
020303.cha,toyplay,143,27
020303.cha,TD,143,27
020824.cha,long,125,32
020824.cha,toyplay,125,32
020824.cha,TD,125,32
020900.cha,long,427,33
020900.cha,toyplay,427,33
020900.cha,TD,427,33
020302.cha,long,332,27
020302.cha,toyplay,332,27
020302.cha,TD,332,27
020601.cha,long,381,30
020601.cha,toyplay,381,30
020601.cha,TD,381,30
020001.cha,long,524,24
020001.cha,toyplay,524,24
020001.cha,TD,524,24
020521.cha,long,250,29
020521.cha,toyplay,250,29
020521.cha,TD,250,29
020900.cha,long,272,33
020900.cha,toyplay,272,33
020900.cha,TD,272,33
020300.cha,long,298,27
020300.cha,toyplay,298,27
020300.cha,TD,298,27
020007.cha,long,271,24
020007.cha,toyplay,271,24
020007.cha,TD,271,24
021129.cha,long,279,35
021129.cha,toyplay,279,35
021129.cha,TD,279,35
020901.cha,long,317,33
020901.cha,toyplay,317,33
020901.cha,TD,317,33
020528.cha,long,426,29
020528.cha,toyplay,426,29
020528.cha,TD,426,29
020303.cha,long,300,27
020303.cha,toyplay,300,27
020303.cha,TD,300,27
020305.cha,long,86,27
020305.cha,toyplay,86,27
020305.cha,TD,86,27
020600.cha,long,95,30
020600.cha,toyplay,95,30
020600.cha,TD,95,30
020527.cha,long,131,29
020527.cha,toyplay,131,29
020527.cha,TD,131,29
020312.cha,long,173,27
020312.cha,toyplay,173,27
020312.cha,TD,173,27
020825.cha,long,105,32
020825.cha,toyplay,105,32
020825.cha,TD,105,32
020001.cha,long,135,24
020001.cha,toyplay,135,24
020001.cha,TD,135,24
020525.cha,long,233,29
020525.cha,toyplay,233,29
020525.cha,TD,233,29
020305.cha,long,253,27
020305.cha,toyplay,253,27
020305.cha,TD,253,27
021126.cha,long,161,35
021126.cha,toyplay,161,35
021126.cha,TD,161,35
020821.cha,long,158,32
020821.cha,toyplay,158,32
020821.cha,TD,158,32
020230.cha,long,150,26
020230.cha,toyplay,150,26
020230.cha,TD,150,26
021127.cha,long,130,35
021127.cha,toyplay,130,35
021127.cha,TD,130,35
020825.cha,long,237,32
020825.cha,toyplay,237,32
020825.cha,TD,237,32
020602.cha,long,187,30
020602.cha,toyplay,187,30
020602.cha,TD,187,30
021128.cha,long,176,35
021128.cha,toyplay,176,35
021128.cha,TD,176,35
020527.cha,long,138,29
020527.cha,toyplay,138,29
020527.cha,TD,138,29
020900.cha,long,189,33
020900.cha,toyplay,189,33
020900.cha,TD,189,33
020304.cha,long,121,27
020304.cha,toyplay,121,27
020304.cha,TD,121,27
020905.cha,long,200,33
020905.cha,toyplay,200,33
020905.cha,TD,200,33
020320.cha,long,451,27
020320.cha,toyplay,451,27
020320.cha,TD,451,27
020606.cha,long,231,30
020606.cha,toyplay,231,30
020606.cha,TD,231,30
020226.cha,long,312,26
020226.cha,toyplay,312,26
020226.cha,TD,312,26
020829.cha,long,312,32
020829.cha,toyplay,312,32
020829.cha,TD,312,32
020006.cha,long,379,24
020006.cha,toyplay,379,24
020006.cha,TD,379,24
020601.cha,long,506,30
020601.cha,toyplay,506,30
020601.cha,TD,506,30
020226.cha,long,443,26
020226.cha,toyplay,443,26
020226.cha,TD,443,26
021129.cha,long,438,35
021129.cha,toyplay,438,35
021129.cha,TD,438,35
020901.cha,long,341,33
020901.cha,toyplay,341,33
020901.cha,TD,341,33
020602.cha,long,304,30
020602.cha,toyplay,304,30
020602.cha,TD,304,30
020528.cha,long,339,29
020528.cha,toyplay,339,29
020528.cha,TD,339,29
020302.cha,long,520,27
020302.cha,toyplay,520,27
020302.cha,TD,520,27
020827.cha,long,344,32
020827.cha,toyplay,344,32
020827.cha,TD,344,32
020003.cha,long,331,24
020003.cha,toyplay,331,24
020003.cha,TD,331,24
021128.cha,long,430,35
021128.cha,toyplay,430,35
021128.cha,TD,430,35
020221.cha,long,461,26
020221.cha,toyplay,461,26
020221.cha,TD,461,26
020521.cha,long,445,29
020521.cha,toyplay,445,29
020521.cha,TD,445,29
020830.cha,long,332,32
020830.cha,toyplay,332,32
020830.cha,TD,332,32
020828.cha,long,218,32
020828.cha,toyplay,218,32
020828.cha,TD,218,32
020606.cha,long,308,30
020606.cha,toyplay,308,30
020606.cha,TD,308,30
020229.cha,long,264,26
020229.cha,toyplay,264,26
020229.cha,TD,264,26
020002.cha,long,267,24
020002.cha,toyplay,267,24
020002.cha,TD,267,24
020913.cha,long,100,33
020913.cha,toyplay,100,33
020913.cha,TD,100,33
020006.cha,long,295,24
020006.cha,toyplay,295,24
020006.cha,TD,295,24
020416.cha,long,213,28
020416.cha,toyplay,213,28
020416.cha,TD,213,28
020603.cha,long,311,30
020603.cha,toyplay,311,30
020603.cha,TD,311,30
020008.cha,long,161,24
020008.cha,toyplay,161,24
020008.cha,TD,161,24
020929.cha,long,206,33
020929.cha,toyplay,206,33
020929.cha,TD,206,33
020301.cha,long,200,27
020301.cha,toyplay,200,27
020301.cha,TD,200,27
020601.cha,long,240,30
020601.cha,toyplay,240,30
020601.cha,TD,240,30
020225.cha,long,314,26
020225.cha,toyplay,314,26
020225.cha,TD,314,26
020924.cha,long,351,33
020924.cha,toyplay,351,33
020924.cha,TD,351,33
020513.cha,long,421,29
020513.cha,toyplay,421,29
020513.cha,TD,421,29
021126.cha,long,450,35
021126.cha,toyplay,450,35
021126.cha,TD,450,35
020002.cha,long,254,24
020002.cha,toyplay,254,24
020002.cha,TD,254,24
020225.cha,long,175,26
020225.cha,toyplay,175,26
020225.cha,TD,175,26
020601.cha,long,211,30
020601.cha,toyplay,211,30
020601.cha,TD,211,30
020905.cha,long,95,33
020905.cha,toyplay,95,33
020905.cha,TD,95,33
020918.cha,long,234,33
020918.cha,toyplay,234,33
020918.cha,TD,234,33
020300.cha,long,205,27
020300.cha,toyplay,205,27
020300.cha,TD,205,27
020600.cha,long,286,30
020600.cha,toyplay,286,30
020600.cha,TD,286,30
021127.cha,long,231,35
021127.cha,toyplay,231,35
021127.cha,TD,231,35
021128.cha,long,243,35
021128.cha,toyplay,243,35
021128.cha,TD,243,35
020302.cha,long,185,27
020302.cha,toyplay,185,27
020302.cha,TD,185,27
020603.cha,long,262,30
020603.cha,toyplay,262,30
020603.cha,TD,262,30
020830.cha,long,221,32
020830.cha,toyplay,221,32
020830.cha,TD,221,32
020001.cha,long,242,24
020001.cha,toyplay,242,24
020001.cha,TD,242,24
020904.cha,long,432,33
020904.cha,toyplay,432,33
020904.cha,TD,432,33
020529.cha,long,381,29
020529.cha,toyplay,381,29
020529.cha,TD,381,29
020229.cha,long,156,26
020229.cha,toyplay,156,26
020229.cha,TD,156,26
020903.cha,long,75,33
020903.cha,toyplay,75,33
020903.cha,TD,75,33
020600.cha,long,171,30
020600.cha,toyplay,171,30
020600.cha,TD,171,30
020229.cha,long,154,26
020229.cha,toyplay,154,26
020229.cha,TD,154,26
020904.cha,long,66,33
020904.cha,toyplay,66,33
020904.cha,TD,66,33
020605.cha,long,90,30
020605.cha,toyplay,90,30
020605.cha,TD,90,30
020228.cha,long,93,26
020228.cha,toyplay,93,26
020228.cha,TD,93,26
020903.cha,long,296,33
020903.cha,toyplay,296,33
020903.cha,TD,296,33
020300.cha,long,344,27
020300.cha,toyplay,344,27
020300.cha,TD,344,27
020602.cha,long,435,30
020602.cha,toyplay,435,30
020602.cha,TD,435,30
020001.cha,long,304,24
020001.cha,toyplay,304,24
020001.cha,TD,304,24
020300b.cha,long,1120,27
020300b.cha,toyplay,1120,27
020300b.cha,TD,1120,27
020300a.cha,long,1457,27
020300a.cha,toyplay,1457,27
020300a.cha,TD,1457,27
020100a.cha,long,1768,25
020100a.cha,toyplay,1768,25
020100a.cha,TD,1768,25
020100b.cha,long,1582,25
020100b.cha,toyplay,1582,25
020100b.cha,TD,1582,25
020200a.cha,long,2320,26
020200a.cha,toyplay,2320,26
020200a.cha,TD,2320,26
020200b.cha,long,1849,26
020200b.cha,toyplay,1849,26
020200b.cha,TD,1849,26
020000b.cha,long,1120,24
020000b.cha,toyplay,1120,24
020000b.cha,TD,1120,24
020000a.cha,long,1018,24
020000a.cha,toyplay,1018,24
020000a.cha,TD,1018,24
021113.cha,long,1854,35
021113.cha,toyplay,1854,35
021113.cha,TD,1854,35
020801.cha,long,1666,32
020801.cha,toyplay,1666,32
020801.cha,TD,1666,32
020430.cha,long,1484,28
020430.cha,toyplay,1484,28
020430.cha,TD,1484,28
021128.cha,long,2011,35
021128.cha,toyplay,2011,35
021128.cha,TD,2011,35
020816.cha,long,1475,32
020816.cha,toyplay,1475,32
020816.cha,TD,1475,32
020904.cha,long,1060,33
020904.cha,toyplay,1060,33
020904.cha,TD,1060,33
020318.cha,long,2180,27
020318.cha,toyplay,2180,27
020318.cha,TD,2180,27
021016.cha,long,1191,34
021016.cha,toyplay,1191,34
021016.cha,TD,1191,34
021002.cha,long,1380,34
