filename,act_type,sent_count,age_months
010904.cha,long,256,21
010904.cha,toyplay,256,21
010904.cha,TD,256,21
010621.cha,long,284,18
010621.cha,toyplay,284,18
010621.cha,TD,284,18
011130.cha,long,329,23
011130.cha,toyplay,329,23
011130.cha,TD,329,23
010526.cha,long,47,17
010526.cha,toyplay,47,17
010526.cha,TD,47,17
011114.cha,long,154,23
011114.cha,toyplay,154,23
011114.cha,TD,154,23
010826.cha,long,88,20
010826.cha,toyplay,88,20
010826.cha,TD,88,20
010700.cha,long,54,19
010700.cha,toyplay,54,19
010700.cha,TD,54,19
010919.cha,long,42,21
010919.cha,toyplay,42,21
010919.cha,TD,42,21
010902.cha,long,382,21
010902.cha,toyplay,382,21
010902.cha,TD,382,21
010600.cha,long,302,18
010600.cha,toyplay,302,18
010600.cha,TD,302,18
011126.cha,long,138,23
011126.cha,toyplay,138,23
011126.cha,TD,138,23
010528.cha,long,97,17
010528.cha,toyplay,97,17
010528.cha,TD,97,17
010829.cha,long,409,20
010829.cha,toyplay,409,20
010829.cha,TD,409,20
010606.cha,long,360,18
010606.cha,toyplay,360,18
010606.cha,TD,360,18
010805.cha,long,436,20
010805.cha,toyplay,436,20
010805.cha,TD,436,20
010600.cha,long,500,18
010600.cha,toyplay,500,18
010600.cha,TD,500,18
010526.cha,long,115,17
010526.cha,toyplay,115,17
010526.cha,TD,115,17
010902.cha,long,102,21
010902.cha,toyplay,102,21
010902.cha,TD,102,21
010901.cha,long,253,21
010901.cha,toyplay,253,21
010901.cha,TD,253,21
010602.cha,long,338,18
010602.cha,toyplay,338,18
010602.cha,TD,338,18
010525.cha,long,172,17
010525.cha,toyplay,172,17
010525.cha,TD,172,17
010915.cha,long,129,21
010915.cha,toyplay,129,21
010915.cha,TD,129,21
010521.cha,long,462,17
010521.cha,toyplay,462,17
010521.cha,TD,462,17
011130.cha,long,381,23
011130.cha,toyplay,381,23
011130.cha,TD,381,23
010827.cha,long,356,20
010827.cha,toyplay,356,20
010827.cha,TD,356,20
010521.cha,long,89,17
010521.cha,toyplay,89,17
010521.cha,TD,89,17
010901.cha,long,102,21
010901.cha,toyplay,102,21
010901.cha,TD,102,21
010902.cha,long,80,21
010902.cha,toyplay,80,21
010902.cha,TD,80,21
011113.cha,long,109,23
011113.cha,toyplay,109,23
011113.cha,TD,109,23
010904.cha,long,125,21
010904.cha,toyplay,125,21
010904.cha,TD,125,21
010602.cha,long,141,18
010602.cha,toyplay,141,18
010602.cha,TD,141,18
010904.cha,long,143,21
010904.cha,toyplay,143,21
010904.cha,TD,143,21
010600.cha,long,114,18
010600.cha,toyplay,114,18
010600.cha,TD,114,18
011127.cha,long,145,23
011127.cha,toyplay,145,23
011127.cha,TD,145,23
010903.cha,long,134,21
010903.cha,toyplay,134,21
010903.cha,TD,134,21
010608.cha,long,105,18
010608.cha,toyplay,105,18
010608.cha,TD,105,18
010902.cha,long,82,21
010902.cha,toyplay,82,21
010902.cha,TD,82,21
011125.cha,long,113,23
011125.cha,toyplay,113,23
011125.cha,TD,113,23
011130.cha,long,85,23
011130.cha,toyplay,85,23
011130.cha,TD,85,23
010609.cha,long,82,18
010609.cha,toyplay,82,18
010609.cha,TD,82,18
011129.cha,long,212,23
011129.cha,toyplay,212,23
011129.cha,TD,212,23
010830.cha,long,176,20
010830.cha,toyplay,176,20
010830.cha,TD,176,20
011125.cha,long,349,23
011125.cha,toyplay,349,23
011125.cha,TD,349,23
010900.cha,long,278,21
010900.cha,toyplay,278,21
010900.cha,TD,278,21
010602.cha,long,211,18
010602.cha,toyplay,211,18
010602.cha,TD,211,18
011129.cha,long,470,23
011129.cha,toyplay,470,23
011129.cha,TD,470,23
010826.cha,long,220,20
010826.cha,toyplay,220,20
010826.cha,TD,220,20
010605.cha,long,402,18
010605.cha,toyplay,402,18
010605.cha,TD,402,18
010904.cha,long,391,21
010904.cha,toyplay,391,21
010904.cha,TD,391,21
010603.cha,long,208,18
010603.cha,toyplay,208,18
010603.cha,TD,208,18
010900.cha,long,568,21
010900.cha,toyplay,568,21
010900.cha,TD,568,21
010526.cha,long,332,17
010526.cha,toyplay,332,17
010526.cha,TD,332,17
011129.cha,long,581,23
011129.cha,toyplay,581,23
011129.cha,TD,581,23
010530.cha,long,232,17
010530.cha,toyplay,232,17
010530.cha,TD,232,17
010823.cha,long,276,20
010823.cha,toyplay,276,20
010823.cha,TD,276,20
010907.cha,long,99,21
010907.cha,toyplay,99,21
010907.cha,TD,99,21
010601.cha,long,218,18
010601.cha,toyplay,218,18
010601.cha,TD,218,18
010900.cha,long,130,21
010900.cha,toyplay,130,21
010900.cha,TD,130,21
010600.cha,long,212,18
010600.cha,toyplay,212,18
010600.cha,TD,212,18
010904.cha,long,174,21
010904.cha,toyplay,174,21
010904.cha,TD,174,21
010526.cha,long,144,17
010526.cha,toyplay,144,17
010526.cha,TD,144,17
010905.cha,long,124,21
010905.cha,toyplay,124,21
010905.cha,TD,124,21
011128.cha,long,270,23
011128.cha,toyplay,270,23
011128.cha,TD,270,23
010604.cha,long,116,18
010604.cha,toyplay,116,18
010604.cha,TD,116,18
010609.cha,long,112,18
010609.cha,toyplay,112,18
010609.cha,TD,112,18
011127.cha,long,121,23
011127.cha,toyplay,121,23
011127.cha,TD,121,23
010830.cha,long,175,20
010830.cha,toyplay,175,20
010830.cha,TD,175,20
010601.cha,long,329,18
010601.cha,toyplay,329,18
010601.cha,TD,329,18
010906.cha,long,318,21
010906.cha,toyplay,318,21
010906.cha,TD,318,21
010600.cha,long,268,18
010600.cha,toyplay,268,18
010600.cha,TD,268,18
010907.cha,long,159,21
010907.cha,toyplay,159,21
010907.cha,TD,159,21
011130.cha,long,278,23
011130.cha,toyplay,278,23
011130.cha,TD,278,23
010606.cha,long,100,18
010606.cha,toyplay,100,18
010606.cha,TD,100,18
011129.cha,long,173,23
011129.cha,toyplay,173,23
011129.cha,TD,173,23
010830.cha,long,52,20
010830.cha,toyplay,52,20
010830.cha,TD,52,20
010611.cha,long,73,18
010611.cha,toyplay,73,18
010611.cha,TD,73,18
