filename,act_type,sent_count,age_months
020909b.cha,long,237,10
020909b.cha,toyplay,237,10
020909b.cha,TD,237,10
6206MP.cha,long,123,7
6206MP.cha,preverbal,123,7
6206MP.cha,TD,123,7
6493TM.cha,long,212,11
6493TM.cha,preverbal,212,11
6493TM.cha,TD,212,11
5039MB.cha,long,53,11
5039MB.cha,preverbal,53,11
5039MB.cha,TD,53,11
4801RB.cha,long,149,11
4801RB.cha,preverbal,149,11
4801RB.cha,TD,149,11
4310AM.cha,long,258,11
4310AM.cha,preverbal,258,11
4310AM.cha,TD,258,11
5573IH.cha,long,220,11
5573IH.cha,preverbal,220,11
5573IH.cha,TD,220,11
4664AM.cha,long,101,11
4664AM.cha,preverbal,101,11
4664AM.cha,TD,101,11
5365DL.cha,long,253,11
5365DL.cha,preverbal,253,11
5365DL.cha,TD,253,11
5482DF.cha,long,97,11
5482DF.cha,preverbal,97,11
5482DF.cha,TD,97,11
5954ML.cha,long,147,11
5954ML.cha,preverbal,147,11
5954ML.cha,TD,147,11
4650KS.cha,long,225,11
4650KS.cha,preverbal,225,11
4650KS.cha,TD,225,11
4858CM.cha,long,135,11
4858CM.cha,preverbal,135,11
4858CM.cha,TD,135,11
5193HB.cha,long,189,11
5193HB.cha,preverbal,189,11
5193HB.cha,TD,189,11
5837AK.cha,long,185,11
5837AK.cha,preverbal,185,11
5837AK.cha,TD,185,11
7236FB.cha,long,239,11
7236FB.cha,preverbal,239,11
7236FB.cha,TD,239,11
6878SK.cha,long,155,11
6878SK.cha,preverbal,155,11
6878SK.cha,TD,155,11
4629AB.cha,long,256,11
4629AB.cha,preverbal,256,11
4629AB.cha,TD,256,11
7075MB.cha,long,262,11
7075MB.cha,preverbal,262,11
7075MB.cha,TD,262,11
7018NB.cha,long,177,11
7018NB.cha,preverbal,177,11
7018NB.cha,TD,177,11
4452CM.cha,long,326,11
4452CM.cha,preverbal,326,11
4452CM.cha,TD,326,11
5111CG.cha,long,221,11
5111CG.cha,preverbal,221,11
5111CG.cha,TD,221,11
6337NK.cha,long,104,11
6337NK.cha,preverbal,104,11
6337NK.cha,TD,104,11
4825GG.cha,long,264,11
4825GG.cha,preverbal,264,11
4825GG.cha,TD,264,11
4273WC.cha,long,143,11
4273WC.cha,preverbal,143,11
4273WC.cha,TD,143,11
5118PM.cha,long,237,11
5118PM.cha,preverbal,237,11
5118PM.cha,TD,237,11
5571FW.cha,long,85,11
5571FW.cha,preverbal,85,11
5571FW.cha,TD,85,11
6815KG.cha,long,219,11
6815KG.cha,preverbal,219,11
6815KG.cha,TD,219,11
5443AO.cha,long,269,11
5443AO.cha,preverbal,269,11
5443AO.cha,TD,269,11
4731SA.cha,long,175,11
4731SA.cha,preverbal,175,11
4731SA.cha,TD,175,11
5440JJ.cha,long,82,11
5440JJ.cha,preverbal,82,11
5440JJ.cha,TD,82,11
7444IJ.cha,long,285,7
7444IJ.cha,preverbal,285,7
7444IJ.cha,TD,285,7
5196AVI.cha,long,156,11
5196AVI.cha,preverbal,156,11
5196AVI.cha,TD,156,11
5923MW.cha,long,59,11
5923MW.cha,preverbal,59,11
5923MW.cha,TD,59,11
5733LE.cha,long,193,11
5733LE.cha,preverbal,193,11
5733LE.cha,TD,193,11
5694MC.cha,long,133,11
5694MC.cha,preverbal,133,11
5694MC.cha,TD,133,11
7120CB.cha,long,174,11
7120CB.cha,preverbal,174,11
7120CB.cha,TD,174,11
5346GG.cha,long,157,11
5346GG.cha,preverbal,157,11
5346GG.cha,TD,157,11
5543EF.cha,long,189,11
5543EF.cha,preverbal,189,11
5543EF.cha,TD,189,11
5244SE.cha,long,128,11
5244SE.cha,preverbal,128,11
5244SE.cha,TD,128,11
5859ME.cha,long,193,11
5859ME.cha,preverbal,193,11
5859ME.cha,TD,193,11
5903AE.cha,long,288,11
5903AE.cha,preverbal,288,11
5903AE.cha,TD,288,11
6626SW.cha,long,297,11
6626SW.cha,preverbal,297,11
6626SW.cha,TD,297,11
4802JP.cha,long,170,11
4802JP.cha,preverbal,170,11
4802JP.cha,TD,170,11
6043AM.cha,long,316,11
6043AM.cha,preverbal,316,11
6043AM.cha,TD,316,11
