filename,act_type,sent_count,age_months
030727.cha,long,277,43
030727.cha,toyplay,277,43
030727.cha,TD,277,43
030319.cha,long,344,39
030319.cha,toyplay,344,39
030319.cha,TD,344,39
030006.cha,long,288,36
030006.cha,toyplay,288,36
030006.cha,TD,288,36
030608.cha,long,216,42
030608.cha,toyplay,216,42
030608.cha,TD,216,42
030321.cha,long,169,39
030321.cha,toyplay,169,39
030321.cha,TD,169,39
030300.cha,long,94,39
030300.cha,toyplay,94,39
030300.cha,TD,94,39
030611.cha,long,32,42
030611.cha,toyplay,32,42
030611.cha,TD,32,42
030000.cha,long,236,36
030000.cha,toyplay,236,36
030000.cha,TD,236,36
030525.cha,long,392,41
030525.cha,toyplay,392,41
030525.cha,TD,392,41
030303.cha,long,269,39
030303.cha,toyplay,269,39
030303.cha,TD,269,39
030004.cha,long,418,36
030004.cha,toyplay,418,36
030004.cha,TD,418,36
030300.cha,long,166,39
030300.cha,toyplay,166,39
030300.cha,TD,166,39
030529.cha,long,129,41
030529.cha,toyplay,129,41
030529.cha,TD,129,41
030500.cha,long,361,41
030500.cha,toyplay,361,41
030500.cha,TD,361,41
030527.cha,long,282,41
030527.cha,toyplay,282,41
030527.cha,TD,282,41
030229.cha,long,238,38
030229.cha,toyplay,238,38
030229.cha,TD,238,38
030006.cha,long,234,36
030006.cha,toyplay,234,36
030006.cha,TD,234,36
030305.cha,long,75,39
030305.cha,toyplay,75,39
030305.cha,TD,75,39
030528.cha,long,191,41
030528.cha,toyplay,191,41
030528.cha,TD,191,41
030004.cha,long,129,36
030004.cha,toyplay,129,36
030004.cha,TD,129,36
030300.cha,long,304,39
030300.cha,toyplay,304,39
030300.cha,TD,304,39
030000.cha,long,316,36
030000.cha,toyplay,316,36
030000.cha,TD,316,36
030601.cha,long,363,42
030601.cha,toyplay,363,42
030601.cha,TD,363,42
030527.cha,long,228,41
030527.cha,toyplay,228,41
030527.cha,TD,228,41
030412.cha,long,249,40
030412.cha,toyplay,249,40
030412.cha,TD,249,40
030001.cha,long,253,36
030001.cha,toyplay,253,36
030001.cha,TD,253,36
030229.cha,long,351,38
030229.cha,toyplay,351,38
030229.cha,TD,351,38
030603.cha,long,226,42
030603.cha,toyplay,226,42
030603.cha,TD,226,42
030309.cha,long,127,39
030309.cha,toyplay,127,39
030309.cha,TD,127,39
030522.cha,long,109,41
030522.cha,toyplay,109,41
030522.cha,TD,109,41
030001.cha,long,62,36
030001.cha,toyplay,62,36
030001.cha,TD,62,36
030303.cha,long,130,39
030303.cha,toyplay,130,39
030303.cha,TD,130,39
030006.cha,long,142,36
030006.cha,toyplay,142,36
030006.cha,TD,142,36
030522.cha,long,161,41
030522.cha,toyplay,161,41
030522.cha,TD,161,41
030310.cha,long,186,39
030310.cha,toyplay,186,39
030310.cha,TD,186,39
030530.cha,long,157,41
030530.cha,toyplay,157,41
030530.cha,TD,157,41
030307.cha,long,274,39
030307.cha,toyplay,274,39
030307.cha,TD,274,39
030625.cha,long,142,42
030625.cha,toyplay,142,42
030625.cha,TD,142,42
030304.cha,long,114,39
030304.cha,toyplay,114,39
030304.cha,TD,114,39
030624.cha,long,240,42
030624.cha,toyplay,240,42
030624.cha,TD,240,42
031128.cha,long,158,47
031128.cha,toyplay,158,47
031128.cha,TD,158,47
030304.cha,long,230,39
030304.cha,toyplay,230,39
030304.cha,TD,230,39
030311.cha,long,297,39
030311.cha,toyplay,297,39
030311.cha,TD,297,39
030003.cha,long,246,36
030003.cha,toyplay,246,36
030003.cha,TD,246,36
030604.cha,long,360,42
030604.cha,toyplay,360,42
030604.cha,TD,360,42
030524.cha,long,619,41
030524.cha,toyplay,619,41
030524.cha,TD,619,41
030228.cha,long,388,38
030228.cha,toyplay,388,38
030228.cha,TD,388,38
030009.cha,long,197,36
030009.cha,toyplay,197,36
030009.cha,TD,197,36
030302.cha,long,246,39
030302.cha,toyplay,246,39
030302.cha,TD,246,39
030304.cha,long,398,39
